Structure,Field,Is2k3
SaveEasyRpgWindow,draw_frame,0
SaveEasyRpgWindow,border_margin,0
SaveEasyRpgText,draw_gradient,0
SaveEasyRpgText,draw_shadow,0
SaveEasyRpgText,bold,0
SaveEasyRpgText,italic,0
EasyRpgRuntime,conf_override_active,0
EasyRpgRuntime,reserved_1,0
EasyRpgRuntime,reserved_2,0
EasyRpgRuntime,reserved_3,0
EasyRpgRuntime,patch_destiny_on,0
EasyRpgRuntime,patch_destiny_off,0
EasyRpgRuntime,patch_dynrpg_on,0
EasyRpgRuntime,patch_dynrpg_off,0
EasyRpgRuntime,patch_maniac_on,0
EasyRpgRuntime,patch_maniac_of,0
EasyRpgRuntime,patch_common_this_event_on,0
EasyRpgRuntime,patch_common_this_event_off,0
EasyRpgRuntime,patch_unlock_pics_on,0
EasyRpgRuntime,patch_unlock_pics_off,0
EasyRpgRuntime,patch_keypatch_on,0
EasyRpgRuntime,patch_keypatch_off,0
EasyRpgRuntime,patch_rpg2k3_cmds_on,0
EasyRpgRuntime,patch_rpg2k3_cmds_off,0
EasyRpgRuntime,use_rpg2k_battle_system_on,0
EasyRpgRuntime,use_rpg2k_battle_system_off,0
